"","Id","Team","Klasse","Beker","FIDE","KNSB","ClubNaam","Lat","Long","Klasse2","Weight","BekerNew"
"1",1,"En Passant","M","B",2460,2469,"En Passant",52.2437897,5.37042,1,8,"A"
"2",3,"Kennemer Combinatie","M","C",2432,2434,"Kennemer Combinatie",52.3973045,4.65065,1,8,"A"
"3",12,"Caissa","1A","C",2259,2250,"Caissa",52.349781,4.87393,2,5,"A"
"4",13,"Paul Keres","1A","B",2256,2256,"Paul Keres",52.1043892,5.1163902,2,5,"A"
"5",16,"EGGERT Purmerend","1B","C",2227,2213,"Purmerend",52.5104294,4.9658699,2,5,"A"
"6",17,"Zukertort Amstelveen 1","1A","B",2217,2222,"Zukertort Amstelveen",52.3152084,4.8633599,2,5,"A"
"7",24,"HWP Haarlem","2C","B",2192,2187,"HWP Haarlem",52.3973045,4.65065,3,3,"A"
"8",25,"Santpoort","2C","B",2190,2191,"Santpoort",52.4333,4.66116,3,3,"A"
"9",29,"De Waagtoren","2B","B",2183,2177,"De Waagtoren",52.6311417,4.7433901,3,3,"A"
"10",30,"De Wijker Toren","1B","C",2179,2175,"De Wijker Toren",52.4941788,4.5931902,2,5,"A"
"11",37,"VAS","2A","B",2135,2138,"VAS",52.3549385,4.9124999,3,3,"A"
"12",39,"Fischer Z","3D","B",2123,2099,"Fischer Z",52.3767014,4.90167,4,2,"A"
"13",45,"Philidor Leiden","2C","C",2104,2122,"Philidor Leiden",52.1563606,4.46522,3,3,"A"
"14",51,"HSG","2A","A",2082,2067,"HSG",52.2234917,5.18081,3,3,"A"
"15",55,"Boven IJ","3E","B",2066,2034,"Boven IJ",52.395401,4.9266,4,2,"A"
"16",57,"ASC","3E","C",2063,2022,"ASC",52.1454201,4.67344,4,2,"A"
"17",64,"Amsterdam West","3C","B",2044,2022,"Amsterdam West",52.3716393,4.8688798,4,2,"A"
"18",68,"Almere 1","3D","B",2015,2021,"Almere",52.3577499,5.1936402,4,2,"A"
"19",69,"Leiderdorp","3D","C",2003,2017,"Leiderdorp",52.15102,4.52539,4,2,"A"
"20",84,"Baarn (SGS)","Regionaal","B",0,0,"Baarn (SGS)",52.21279,5.2933,5,1,"A"
"21",86,"De Uil (NHSB)","Regionaal","B",0,0,"De Uil (NHSB)",52.29774,4.57899,5,1,"A"
"22",88,"ENPS (SGA)","Regionaal","B",0,0,"ENPS",52.3501701,4.8900399,5,1,"A"
"23",92,"Philidor Leiden (LeiSB)","Regionaal","C",0,0,"Philidor Leiden",52.1563606,4.46522,5,1,"A"
"24",5,"SISSA","M","A",2414,2414,"SISSA",53.2231903,6.5890598,1,8,"B"
"25",7,"Groninger Combinatie","M","A",2384,2384,"Groninger Combinatie",53.2085686,6.5413899,1,8,"B"
"26",8,"MuConsult Apeldoorn","M","B",2360,2358,"Schaakstad Apeldoorn",52.2249413,5.97609,1,8,"B"
"27",20,"Caissa-Eenhoorn","2A","B",2206,2207,"Caïssa-Eenhoorn",52.6714287,5.0932598,3,3,"B"
"28",22,"Philidor 1847","1A","A",2201,2230,"Philidor 1847",53.2114906,5.8263302,2,5,"B"
"29",23,"SG Max Euwe","1A","A",2200,2183,"SG Max Euwe",52.2050285,6.8822498,2,5,"B"
"30",27,"MSV","3B","A",2186,2149,"MSV",52.6972885,6.1891799,4,2,"B"
"31",47,"Qonnected Hardenberg","2A","A",2090,2079,"Hardenberg",52.5721588,6.62252,3,3,"B"
"32",49,"Emanuel Lasker","3A","A",2088,2033,"Emanuel Lasker",53.2706604,5.6040902,4,2,"B"
"33",53,"Lonneker","2A","A",2075,2065,"Lonneker",52.2491798,6.90696,3,3,"B"
"34",65,"ZSG","3A","A",2037,1985,"ZSG",52.5058098,6.09308,4,2,"B"
"35",66,"Almelo","3A","B",2020,2036,"Almelo",52.3791313,6.6767702,4,2,"B"
"36",70,"Staunton","3A","A",2003,1988,"Staunton",53.2231903,6.5890598,4,2,"B"
"37",72,"Spassky's","3B","A",1994,2001,"Spassky's",53.2231903,6.5890598,4,2,"B"
"38",73,"HSP/Veendam","3B","A",1993,1957,"HSP/Veendam",53.1659889,6.7688398,4,2,"B"
"39",74,"Assen","2A","A",1991,1977,"Assen",53.0006599,6.5413299,3,3,"B"
"40",76,"PSV/DoDO","3D","B",1977,1961,"PSV/DoDO",52.2527675,5.612187,4,2,"B"
"41",78,"DSG Pallas","3B","A",1956,1954,"DSG Pallas",52.2743416,6.1510301,4,2,"B"
"42",80,"Schaakwoude","3A","A",1942,1961,"Schaakwoude",53.2898,6.00361,4,2,"B"
"43",82,"Denk en Zet/O&O Kampen","3A","A",1926,1923,"Denk en Zet/O&O Kampen",52.56152,5.90213,4,2,"B"
"44",83,"WES","3A","A",1903,1906,"WES",52.87004,6.00704,4,2,"B"
"45",89,"Heerenveen (FSB)","Regionaal","A",0,0,"Heerenveen (FSB)",52.95721,5.92994,5,1,"B"
"46",90,"Leek (OSBO)","Regionaal","A",0,0,"Leek (OSBO)",53.16142,6.36899,5,1,"B"
"47",4,"HMC Calder","M","D",2424,2423,"HMC Calder",51.69767,5.3407698,1,8,"C"
"48",9,"Voerendaal","1B","D",2316,2311,"Voerendaal",50.8773193,5.8860002,2,5,"C"
"49",10,"De Stukkenjagers","1B","D",2290,2293,"De Stukkenjagers",51.5584106,5.0823798,2,5,"C"
"50",11,"UVS","1B","D",2288,2282,"UVS",51.8485489,5.8622799,2,5,"C"
"51",14,"Wageningen","1B","A",2254,2250,"Wageningen",51.9775085,5.66187,2,5,"C"
"52",19,"Oud Zuylen Utrecht","1B","B",2208,2205,"Utrecht",52.0809898,5.0855699,2,5,"C"
"53",21,"De Toren Arnhem","1A","D",2204,2201,"De Toren Arnhem – VSV",51.9524803,5.8681998,2,5,"C"
"54",26,"ASV","1A","D",2188,2187,"ASV",51.9872017,5.9607401,2,5,"C"
"55",33,"Eindhoven","3H","D",2154,2122,"Eindhoven",51.4271698,5.5114102,4,2,"C"
"56",34,"Dubbelschaak '97","2D","D",2150,2125,"Dubbelschaak '97",51.5871887,5.3295398,3,3,"C"
"57",36,"SSC 1922","1A","B",2142,2125,"SSC 1922",52.1805992,5.3042002,2,5,"C"
"58",42,"Amersfoort","2C","A",2120,2094,"Amersfoort",52.1822891,5.4068499,3,3,"C"
"59",46,"PION","2D","D",2094,2096,"PION",51.7757607,5.9353099,3,3,"C"
"60",52,"WLC","3H","D",2082,2030,"WLC",51.4679604,5.45783,4,2,"C"
"61",58,"De Giessen en Linge","3H","D",2056,2051,"De Giessen en Linge",51.8534317,4.8871298,4,2,"C"
"62",59,"BSV Bennekom","3E","B",2055,2033,"BSV Bennekom",52.0003204,5.67133,4,2,"C"
"63",60,"De Combinatie","3H","D",2053,2044,"De Combinatie",51.4020882,5.7451,4,2,"C"
"64",71,"Zevenaar","3B","D",1996,1967,"Zevenaar",51.9272003,6.0757999,4,2,"C"
"65",75,"De Drie Torens","3H","D",1991,1971,"De Drie Torens",51.5558205,5.0708899,4,2,"C"
"66",79,"WSG Winterswijk","3B","B",1951,1935,"WSG Winterswijk",51.9698296,6.72158,4,2,"C"
"67",81,"Hoogland","3D","A",1931,1901,"Hoogland",52.17899,5.375,4,2,"C"
"68",87,"DSC Dongen (NBSB)","Regionaal","D",0,0,"DSC Dongen (NBSB)",51.63163,4.92416,5,1,"C"
"69",93,"WSG Winterswijk (SBO)","Regionaal","B",0,0,"WSG Winterswijk",51.9698296,6.72158,5,1,"C"
"70",2,"LSG IntelliMagic","M","C",2442,2434,"LSG",52.1563606,4.46522,1,8,"D"
"71",6,"Charlois Europoort","M","D",2387,2395,"Charlois Europoort",51.8725014,4.46802,1,8,"D"
"72",15,"DSC Delft","1B","C",2251,2249,"DSC Delft",52.0076621,4.3640828,2,5,"D"
"73",18,"Messemaker 1847","1A","C",2216,2205,"Messemaker",52.0190392,4.6869602,2,5,"D"
"74",28,"DD","2D","C",2184,2191,"DD",52.0841789,4.29561,3,3,"D"
"75",31,"De Pion","2D","D",2172,2169,"De Pion",51.5383987,4.4607201,3,3,"D"
"76",32,"Spijkenisse","2B","C",2159,2151,"Spijkenisse",51.8500099,4.3257098,3,3,"D"
"77",35,"Voorschoten","2B","C",2147,2122,"Voorschoten",52.1268387,4.4474201,3,3,"D"
"78",38,"Oegstgeest '80","2B","C",2127,2073,"Oegstgeest '80",52.1563606,4.46522,3,3,"D"
"79",40,"Schaakhuis","3F","C",2122,2034,"Schaakhuis",52.07311,4.31117,4,2,"D"
"80",41,"CSV","3G","C",2121,2108,"CSV",51.9295199,4.5917899,4,2,"D"
"81",43,"Dordrecht","2C","D",2114,2105,"Dordrecht",51.8013802,4.6803398,3,3,"D"
"82",44,"Westlandse Schaak Combinatie","2C","D",2114,2082,"Westlandse Schaakcombinatie",51.9759598,4.2511001,3,3,"D"
"83",48,"RSR Ivoren Toren","2C","C",2089,2074,"RSR Ivoren Toren",51.9285698,4.48593,3,3,"D"
"84",50,"Krimpen aan den IJssel","3F","C",2086,2054,"Krimpen aan den Ijssel",51.9161644,4.5967598,4,2,"D"
"85",54,"Rokado","2C","D",2072,2082,"Rokado",51.81251,4.33713,3,3,"D"
"86",56,"De Baronie","3G","D",2065,1987,"De Baronie",51.58616,4.78935,4,2,"D"
"87",61,"Promotie","3E","C",2048,2007,"Promotie",52.0569305,4.4733801,4,2,"D"
"88",62,"Goes","3G","D",2046,2034,"Goes",51.5099106,3.8956599,4,2,"D"
"89",63,"Rijswijk","3F","C",2045,2018,"Rijswijk",52.0563507,4.3354001,4,2,"D"
"90",67,"Sliedrecht","3F","D",2016,2038,"Sliedrecht",51.8229294,4.7884598,4,2,"D"
"91",77,"Botwinnik","3G","C",1976,1982,"Botwinnik",52.0514652,4.4975645,4,2,"D"
"92",85,"De Scheve Toren (HSB)","Regionaal","C",0,0,"De Scheve Toren (HSB)",52.01265,4.44316,5,1,"D"
"93",91,"Messemaker 1847 (RSB)","Regionaal","C",0,0,"Messemaker",52.0190392,4.6869602,5,1,"D"
